VivadoVersion,FpgaPart,TopModule,TargetClk,EstimatedClk,BestLatency,WorstLatency,IIntervalMin,IIntevalMax,ResourceBram,ResourceDsp,ResourceFf,ResourceLut,GitRevision,Arch,Model,ReuseFactor,ExecutionTime
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,132,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,133,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,134,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,135,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,136,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,137,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,138,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,139,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,140,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,141,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,142,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,143,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,144,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,145,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,146,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,147,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,148,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,149,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,150,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,151,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,152,?
?,?,?,?,?,?,?,?,?,?,?,?,?,0619978,solution1,2layer_100x100,153,?
